Brand,Rating,Product offerings,Market area,Location,Participated in Survey?,Score
Eight Mile Creek Farm,5,"Retail cuts, ground","Farm direct, CSA, online","Westerlo, NY",Yes,1100
Alderspring Ranch,5,"Retail cuts, jerky, wholesale, hot dogs","Online, shipped","May, ID",Yes,1100
Wheatfield Hill Beef,5,"Retail cuts, ground, organs","Locally in WI, farmers market, farm direct","Durand, WI",Yes,1090
Misty Brook Farm,5,"Retail cuts, veal",Unknown,"Albion, ME",Yes,1090
Engelbert Farms,5,"Retail cuts, veal, ground, half, quarter","Locally in NY, locally in PA, online, farm direct","Nichols, NY",Yes,1090
Leafy Creek Farm,5,"Retail cuts, ground, whole, half, quarter","Online, locally in TX","Comanche County, TX",Yes,1085
Nick's Organic Farm,5,Retail cuts,"Locally in Adamstown, MD, farm direct","Adamstown, MD",Yes,1085
Windy N Ranch,5,Retail cuts,Farm direct,"Ellensburg, WA",Yes,1080
Full Circle Community Farm,5,"Retail cuts, ground, whole, half","Locally in WI, farm store, online","Seymour, WI",Yes,1080
Sublime Organics,5,Retail cuts,"Farm direct, locally in OR, CSA","Sublimity, OR",Yes,1065
Pu'u O Hoku Ranch,5,"Retail cuts, venison","Locally in HI, farm direct","Kaunakakai, HI",Yes,1060
Earthwise Farm and Forest Dairy,5,Retail cuts,Locally in VT,"Randolph, VT",Yes,1050
Avenales Cattle Co.,5,Retail cuts,"On-line, in San Luis Obispo and Templeton, CA","Shandon, CA",Yes,1050
Williams Farm Organic,5,"Whole, half, quarters",Farm direct,"Storm Lake, IA",Yes,1045
Deck Family Farm (Friends Farm),5,"Retail cuts, ground","Farm direct, CSA","Junction City, OR",Yes,1030
Alden Hills Organic Farms,5,"Retail cuts, sausages","Online, IL, WI, farm direct","Walworth, WI",Yes,1025
Ayrshire Farm,5,"Retail cuts, wholesale",Locally in VA,"Upperville, VA",Yes,1015
Red Hoof Farm,5,"Retail cuts, organs, ground","Locally in WI, Locally in MN, farm direct, delivery","Port Wing, WI",Yes,1005
Plaisance Ranch,5,"Retail cuts, beef bacon, hot dogs, jerky",Locally in OR,"Williams, OR",Yes,985
Prairie Grazed Meats,5,"Retail cuts, ground, sausage","Online, MT","Havre, MT",Yes,960
Panorama Organic,5,"Retail cuts, ground","Nationwide, online, Whole Foods Markets","Westminster, CO",Yes,950
Lost Coast Ranch,5,"Retail cuts, whole, half",Online,"Petrolia, CA",Yes,950
Stemple Creek Ranch,4,"Retail cuts, bones, ground, hot dogs, organ meats","Locally in CA, online","Tomales, CA",Yes,870
Thousand Hills,4,"Retail cuts, ground",Nationwide,"Becker, MN",Yes,865
Lifeline Farm,4,Retail cuts,Locally in MT,"Victor, MT",No,865
Seven Seeds Organic Farm,4,"Retail cuts, ground, sausage, organs, bones","Farm direct, locally in WI, shipped","Spring Green, WI",No,795
Starry Nights Farm,4,"Whole, half, quarter, ground",Online,"Burlington, WI",No,795
King's Crown Organic Farm,4,"Retail cuts, ground","Locally in ID, farm direct","King Hill, ID",No,780
Cosmic Apple Gardens,4,"Retail cuts, organs, ground","Locally in ID, CSA","Victor, ID",No,775
Cross Island Farms,4,"Retail cuts, whole, half, quarter",Farm direct,"Wellesley Island, NY",No,775
