Brand Name,Rating,Products,Market Area,Score
Paradise Springs,5,Fluid Milk,ID,1225
Working Cows Dairy,5,"Cheese, Butter, Fluid Milk, Raw Milk",AL,1225
Hawthorne Valley Farm,5,"Yogurt, Raw, Fluid Milk",East,1150
Radiance Dairy,5,"Yogurt, Fluid Milk, A2",IA,1125
Sidehill Farm,5,"Yogurt, Sour Cream",Northeast,1125
Does' Leap,5,Goat Cheese,VT,1095
Larson Farm & Creamery,5,"Raw, Fluid Milk, A2, 100% Grassfed, Yogurt",VT,1090
Traders Point Creamery,5,"100% Grassfed, Fluid Milk, Cheese, Ice Cream, Eggnog",,1065
Amaltheia Organic Dairy,5,Goat Cheese,"MT, Online",1050
Balfour Farm,5,Cheese,"Online, Wholesale, ME",1050
Butterworks Farm,5,"Yogurt, Cream, Kefir, 100% Grassfed","VT, Northeast",1045
Stony Pond Farm,5,Cheese,,1040
Strafford Organic Creamery,5,"Fluid Milk, Cream, Ice Cream","CT, NY, VT, NH",1000
Engelbert Farms,5,Cheese,"VT, NY",980
Chase Hill Farm,5,"Cheese, 100% Grassfed, Raw",Northeast,955
Sunshine Dairy,5,"Fluid Milk, Cheese, Raw, A2",PA,920
Miller Farm,5,Fluid Milk,Northeast,880
Meadowsweet Farm,5,Fluid Milk,Northeast,100
Misty Brook,4,"Fluid Milk, Raw",ME,875
Straus Family Creamery,4,"Fluid Milk, Cream, Ice Cream, Kefir, Sour Cream, Butter","National, CA",875
Berle Farm,4,"Cheese, Yogurt, Fluid Milk, Raw","New York, Online",850
Cedar Grove Cheese,4,Cheese,,805
Clover Sonoma,4,"Fluid Milk, Kefir, Yogurt","West, CA",780
Ferndale Organic,4,"Fluid Milk, A2","CA, UT, TX, HI",730
Natural by Nature (Natural Dairy Products),4,"Fluid Milk, Cream",National,690
Rumiano Cheese,4,Cheese,West,690
Cowgirl Creamery (Emmi),4,Cheese,"Nationwide, Online",680
Spring Sunrise Natural Foods,4,"Ghee, A2",Online,665
Nezinscot Farm,4,Cheese,Northeast,625
Kiss the Cow Farm,3,"Fluid Milk, 100% Grassfed, A2, Raw",VT,615
Alec's Ice Cream,3,"Ice Cream, A2",National,605
Samish Bay Cheese Farm,3,"Cheese, Yogurt, Milk, Labneh","WA, OR, Online",575
Painterland Sisters,3,"Skyr, Yogurt",National,565
Lifeline Farm,3,"Cheese, Fluid Milk",MT,540
Stonyfield Farms (Lactilis),3,"Yogurt, Snacks",National,540
Meant To Be,3,"Fluid Milk, 100% Grassfed, Yogurt, Cheese","NY, Online",500
McCluskey Brothers at Shillelagh Glen Farms,3,Cheese,WI,490
Rogers Farmstead,3,Fluid Milk,VT,490
Zeal Creamery,3,Butter,National,485
Organic Valley Grassmilk,3,"Fluid Milk, Cheese, Yogurt, 100% Grassfed",National,470
Champlain Valley Creamery,3,Cheese,Northeast,455
Oasis Creamery,3,"Cheese, Fluid Milk",PA,455
Pure Indian Foods,3,Ghee,"National, Online",455
Sky Top Organics,3,"Fluid Milk, Cheese, A2",PA,450
Trimona Yogurt,3,"Yogurt, A2",National,450
Ancient Organics,3,Ghee,"National, Online",425
Westby Cooperative Creamery,2,"Fluid Milk, Cottage Cheese, Sour Cream","Midwest, Online",425
Nuna Organic,2,Cheese,National,400
Horizon Grassfed (Platinum Equity),2,"Fluid Milk, 100% Grassfed",National,380
Lulubelle's Creamery,2,"Fluid Milk, Cheese, Butter",Northwest,375
Organic Valley,2,"Fluid Milk, Cheese, Yogurt",National,375
Trickling Springs (South Mountain Creamery),2,"Fluid Milk, Cream","MD, PA, DC, VA",375
Willamette Valley Cheese (Wild Rose Foods),2,Cheese,Northwest,375
Green Valley Creamery (Emmi),2,"Lactose Free, Cream Cheese, Yogurt, Sour Cream, Kefir",Nationwide,325
Alpine Heritage Creamery,2,"Cheese, 100% Grassfed","Online, Wholesale, PA",300
Rogue Creamery,2,Cheese,"West, Online",300
Sierra Nevada Cheese Company,2,"Cheese, Yogurt, Goat Cheese",National,300
White Orchard Farm,2,"Fluid Milk, Yogurt",ME,300
Alexandre Family Farm 100% Grassfed,2,"Fluid Milk, Yogurt, A2, 100% Grassfed",National,285
Humboldt Creamery (Foster Farms Dairy),2,"Fluid Milk, Cottage Cheese, Sour Cream",National,275
Gold Nugget Ghee,2,Ghee,Online,250
Organic Creamery (Saputo),2,Cheese,"National, Online",250
White Mountain,2,Yogurt,West,250
PCC Community Markets,2,"Fluid Milk, Cheese",WA,225
Shaw Farm Dairy (New England Organic Creamery),2,Fluid Milk,MA,175
Wallaby Organic (Horizon Family Brands),1,Yogurt,National,175
Alden's Organic,1,Ice Cream,West,150
Annie's (General Mills),1,"Cheese, Snacks, Meals",National,150
Happy Family (Danone),1,Formula,"National, Online",150
Horizon (Platinum Equity),1,Fluid Milk,National,150
Verka,1,"Ghee, Yogurt, Cheese","Northest, Northwest, Midwest, CA",150
Alpenrose,1,"Fluid Milk, Half and Half",Northwest,125
Blue Marble Ice Cream,1,"Ice Cream, Wholesale",National,125
New Seasons Market (Good Food Holdings),1,"Cheese, Fluid Milk",Northwest,100
High Meadow (Aurora Organic Dairy),1,Fluid Milk,National,50
Alexandre Family Farm EcoDairy,1,"Fluid Milk, Yogurt, A2, Chocolate Milk, Whipping Cream",National,35
Neutral,1,"Fluid Milk, Half and Half",National,10
1836 Farms,1,Fluid Milk,Online,10
365 Organic (Whole Foods),1,"Fluid Milk, Half and Half",National,10
Belfiore Cheese,1,Cheese,"CA, Online",10
Bellwether Farm,1,"Yogurt, A2",National,10
Bobbie,1,Formula,"National, Online",10
Bub's Organic (Aussie Bubs),1,Formula,"Online, National",10
Byrne Hollow Farm (Byrne Dairy),1,"Fluid Milk, Wholesale",National,10
Cadia (KeHe),1,Cheese,"Wholesale, National",10
Central Market Organics (HEB),1,Fluid Milk,,10
County Line Farms,1,Fluid Milk,TX,10
Earth's Best (Hain Celestial),1,Formula,"National, Online",10
