Brand Name,Rating,Market Area,Score
Eight Mile Creek Farm,5,NY,1705
Sublime Organics,5,OR,1675
Happy Hens Truly Outdoors,5,CA,1670
Kingbird Farm,5,NY,1670
Common Good Farm,5,NE,1660
Deck Family Farm,5,OR,1635
Misty Meadows Farms,5,WA,1635
Skokomish Valley Farms,5,WA,1635
Nick's Organic Farm,5,"MD, VA, DC",1630
Burroughs Family Farms,5,CA,1620
World's Best Eggs (Coyote Creek Farm),5,TX,1620
Townsend Farms,5,CA,1615
Villageside Farm,5,ME,1605
Alexandre Kids Eggs,5,West Coast,1600
Farm and Wilderness,5,VT,1595
Niki Farms,5,CA,1590
Wanderment Farms,5,"CA, Online",1590
Erewhon Regenerative,5,CA,1585
Pin Oak Place,5,IA,1570
Rachel's Eggs (Bee Heaven Farms),5,FL,1570
Sova Farm,5,"NY, NJ, CT",1560
Windy N Ranch,5,WA,1560
Many Hands Organic Farm,5,MA,1555
Skagit River Ranch,5,WA,1545
Turtle Ledge Farm,5,CT,1520
Mud Run Farm,5,OH,1500
OrgaNick Eggs,5,Nationwide,1470
Apple Creek Farm,5,ME,1465
Mission Mountain,5,"MT, ID, WA",1465
Tomales Bay Pastures,5,CA,1450
Dreamfarm,5,WI,1445
Pasture Patterns,5,WI,1410
Alden Hills,5,"IL, WI",1400
PCC Organic Eggs,5,WA,1385
Wilcox Organic Pasture Raised,5,Northwest,1385
Pasture Fresh,5,"CA, OR, WA, NV",1360
Larry Schultz Organic Farm,4,Upper midwest,1355
Mosel Organic Farms,4,NE,1345
Happy Town Farm,4,ME,1335
Apricot Lane Farm,4,CA,1325
Natural Grocers Regenerative Organic Pasture Raised,4,Western US,1300
Hoover Ranch,4,CA,1265
Utopihen Pasture Raised Organic,4,East Coast and Midwest,1260
Helpful Hens Pastured (Egg Innovations),4,Midwest,1255
Farmers Hen House Pasture Raised Organic,4,Nationwide,1245
These Came First (Natural Grocers),4,Western US,1240
Fifth Crow Farm,4,CA,1230
Blue Sky Family Farms Pastured Organic (Egg Innovations),4,"WI, OH, IL",1210
