Brand Name,Rating,Products,Market Area,Score
Paradise Springs,5,Fluid Milk,ID,1225
Working Cows Dairy,5,"Cheese, Butter, Fluid Milk, Raw Milk",AL,1225
Hawthorne Valley Farm,5,"Yogurt, Raw, Fluid Milk",East,1150
Radiance Dairy,5,"Yogurt, Fluid Milk, A2",IA,1125
Larson Farm & Creamery,5,"Raw, Fluid Milk, A2, 100% Grassfed, Yogurt",VT,1090
Traders Point Creamery,5,"100% Grassfed, Fluid Milk, Cheese, Ice Cream, Eggnog",,1065
Strafford Organic Creamery,5,"Fluid Milk, Cream, Ice Cream","CT, NY, VT, NH",1000
Sunshine Dairy,5,"Fluid Milk, Cheese, Raw, A2",PA,920
Miller Farm,5,Fluid Milk,Northeast,880
Meadowsweet Farm,5,Fluid Milk,Northeast,100
Misty Brook,4,"Fluid Milk, Raw",ME,875
Straus Family Creamery,4,"Fluid Milk, Cream, Ice Cream, Kefir, Sour Cream, Butter","National, CA",875
Berle Farm,4,"Cheese, Yogurt, Fluid Milk, Raw","New York, Online",850
Clover Sonoma,4,"Fluid Milk, Kefir, Yogurt","West, CA",780
Ferndale Organic,4,"Fluid Milk, A2","CA, UT, TX, HI",730
Natural by Nature (Natural Dairy Products),4,"Fluid Milk, Cream",National,690
Kiss the Cow Farm,3,"Fluid Milk, 100% Grassfed, A2, Raw",VT,615
Lifeline Farm,3,"Cheese, Fluid Milk",MT,540
Meant To Be,3,"Fluid Milk, 100% Grassfed, Yogurt, Cheese","NY, Online",500
Rogers Farmstead,3,Fluid Milk,VT,490
Organic Valley Grassmilk,3,"Fluid Milk, Cheese, Yogurt, 100% Grassfed",National,470
Oasis Creamery,3,"Cheese, Fluid Milk",PA,455
Sky Top Organics,3,"Fluid Milk, Cheese, A2",PA,450
Westby Cooperative Creamery,2,"Fluid Milk, Cottage Cheese, Sour Cream","Midwest, Online",425
Horizon Grassfed (Platinum Equity),2,"Fluid Milk, 100% Grassfed",National,380
Lulubelle's Creamery,2,"Fluid Milk, Cheese, Butter",Northwest,375
Organic Valley,2,"Fluid Milk, Cheese, Yogurt",National,375
Trickling Springs (South Mountain Creamery),2,"Fluid Milk, Cream","MD, PA, DC, VA",375
White Orchard Farm,2,"Fluid Milk, Yogurt",ME,300
Alexandre Family Farm 100% Grassfed,2,"Fluid Milk, Yogurt, A2, 100% Grassfed",National,285
Humboldt Creamery (Foster Farms Dairy),2,"Fluid Milk, Cottage Cheese, Sour Cream",National,275
PCC Community Markets,2,"Fluid Milk, Cheese",WA,225
Shaw Farm Dairy (New England Organic Creamery),2,Fluid Milk,MA,175
Horizon (Platinum Equity),1,Fluid Milk,National,150
Alpenrose,1,"Fluid Milk, Half and Half",Northwest,125
New Seasons Market (Good Food Holdings),1,"Cheese, Fluid Milk",Northwest,100
High Meadow (Aurora Organic Dairy),1,Fluid Milk,National,50
Alexandre Family Farm EcoDairy,1,"Fluid Milk, Yogurt, A2, Chocolate Milk, Whipping Cream",National,35
Neutral,1,"Fluid Milk, Half and Half",National,10
1836 Farms,1,Fluid Milk,Online,10
365 Organic (Whole Foods),1,"Fluid Milk, Half and Half",National,10
Byrne Hollow Farm (Byrne Dairy),1,"Fluid Milk, Wholesale",National,10
Central Market Organics (HEB),1,Fluid Milk,,10
County Line Farms,1,Fluid Milk,TX,10
Farmland Fresh,1,Fluid Milk,"Northeast, Southeast, Midwest",10
Full Circle Market (Topco),1,Fluid Milk,National,10
Great Value (Walmart),1,"Fluid Milk, Cheese","National, Online",10
GreenWise (Publix),1,Fluid Milk,Southeast,10
Harvest Farms (Ingles Markets),1,Fluid Milk,Southeast,10
Kirkland Signature (Costco),1,Fluid Milk,National,10
Market Basket (DeMoulas Super Markets),1,Fluid Milk,Northeast,10
Member's Mark (Sam's Club),1,"Instant, Fluid Milk",National,10
MOM's Organic Market,1,Fluid Milk,,10
Naturally Better (Aldi),1,Fluid Milk,,10
Nature's Basket (Giant Eagle),1,Fluid Milk,,10
Nature's Best (KeHe),1,Fluid Milk,,10
Nature's Promise (Ahold Delhaize),1,Fluid Milk,Northeast,10
Nature's Touch (Kwik Trip),1,Fluid Milk,,10
O Organics (Safeway),1,"Cheese, Fluid Milk",National,10
Oberweis Dairy,1,Fluid Milk,,10
Rockview Farms,1,"Fluid Milk, Cream",CA,10
Roundy's Organics (Kroger),1,Fluid Milk,Midwest,10
Sassy Cow Creamery,1,Fluid Milk,WI,10
Shamrock Farms,1,Fluid Milk,"Rocky Mountain, Southwest, West",10
Simple Truth (Kroger),1,"Fluid Milk, Cheese, Butter",National,10
Simply Nature (Aldi),1,"Fluid Milk, Cheese",National,10
Smith Brothers Farms,1,"Fluid Milk, Half and Half, Cottage Cheese, Sour Cream, Cream","Northwest, Online, Delivery",10
Sprouts,1,Fluid Milk,West,10
Stew Leonard's,1,Fluid Milk,"CT, NY, NJ",10
Stremicks Heritage,1,Fluid Milk,,10
Sunnyside Farms Dairy (Save Mart Supermarkets),1,Fluid Milk,"CA, NV",10
Trader Joe's,1,"Fluid Milk, Yogurt, Cream",National,10
True Goodness (Meijer),1,"Fluid Milk, Cheese",National,10
Wegmans,1,"Fluid Milk, Cheese",,10
Wellsley Farm (BJ's),1,"Cheese, Fluid Milk","East, IN, KY, OH, MI, FL, TN, AL",10
Wild Harvest (UNFI),1,Fluid Milk,,10
Wholesome Pantry (ShopRite),1,Fluid Milk,,10
Family Farmstead Dairy,0,"Fluid Milk, Yogurt, Cheese, Buttermilk, A2, 100% Grassfed",Northeast,0
Kalona Supernatural (Farmers Creamery),0,"Fluid Milk, Half and Half, Cottage Cheese, Yogurt, Kefir","West, Midwest",0
Kimberton Hills Dairy (Camphill Village Kimberton Hills),0,"Fluid Milk, Raw, Cheese",PA,0
Maple Hill Creamery (Horizon Family Brands),0,"Fluid Milk, Yogurt",National,0
