Brand Name,Rating,Farm/Brand Headquarters,Products,Market Area,Score
Eight Mile Creek Farm,5,"Westerlo, NY","Chicken, turkey",New York,1795
Many Hands Organic Farm,5,"Barre, MA","Chicken, turkey","On farm, Massachusetts",1755
Nick's Organic Farm,5,"Potomac, MD","Chicken, turkey",Maryland,1730
Wrong Direction Farm,5,"Canajoharie, NY","Chicken, turkey","Northeast, home delivery",1710
Rockside Ranch,5,"Etna, CA","Chicken, turkey",Northern CA,1695
Full Moon Farm,5,"Hinesburg, VT",Chicken,Vermont,1670
Greener Pastures Chicken,5,"Austin, TX",Chicken,"Texas, direct sale",1620
Ayrshire Farm,5,"Upperville, VA","Chicken, turkey",Virginia,1590
Hershberger Heritage Farm,5,"Sellersville, PA","Chicken, turkey",Southeastern PA,1580
Bell & Evans (Farmer's Pride),4,"Fredericksburg, PA","Chicken, processed meat",Nationwide,1240
Farmer Focus (Shenandoah Valley Organic),4,"Harrisonburg, VA",Chicken,"East coast, midwest",1230
Diestel Turkey Ranch,4,"Sonora, CA",Turkey,Nationwide,1175
Bilinski Sausage Manufacturing Co. (Schonwetter Enterprises),4,"Cohoes, NY","Chicken, processed meat, sausage",Nationwide,1145
Wegmans,4,"Rochester, NY",Chicken,Northeast,1100
Mary's Organic Chicken (Pitman Family Farms),4,"Sanger, CA","Chicken, turkey, duck",Nationwide,1080
Tide Mill Organic Farm,3,"Edmunds, ME","Chicken, turkey, processed meat",Northeast,940
Our Table Farm Cooperative,3,"Sherwood, OR",Chicken,Oregon,765
Good Earth Farms,3,"Milladore, WI","Chicken, soy free","Wisconsin, online",760
Applegate Farms (Hormel Foods),3,"Bridgewater, NJ","Chicken, turkey",Nationwide,755
Blackwing (Blackwing Organic Meats),3,"Antioch, IL","Chicken, turkey, ostrich",Nationwide,735
Organic Prairie (Organic Valley),3,"La Farge, WI",Chicken,Nationwide,735
D'Artagnan,2,"Union, NJ","Chicken, turkey, duck",East Coast,505
Aurora Valley Poultry,2,"Tualatin, OR","Chicken, turkey",Oregon,420
Blue Yonder Organic Farm,2,"North Salem, IN","Chicken, turkey, duck",Indiana,420
Fulton Valley Farms (Pitman Family Farms),1,"Sanger, CA",Chicken,Nationwide,320
Miller Poultry (Amish County Poultry),1,"Orland, IN",Chicken,Nationwide,230
Pine Manor Farms (Amish Country Poultry),1,"Orland, IN",Chicken,Nationwide,230
Wise Organic Pastures (Wise-Glatt Organics/Glatt Organic LCC),1,"Brooklyn, NY","Chicken, turkey, kosher, duck",Online,60
New Seasons Market (Good Food Holdings/E-Mart),1,"Portland, OR","Chicken, turkey","Oregon, Washington",30
Nature's Promise (Ahold),1,"Landover, MD",Chicken,,0
Trader Joes,1,"Monrovia, CA","Chicken, turkey, processed meat",Nationwide,0
Plainville Farms,1,"Plainville, NY","Chicken, turkey",Nationwide,0
Hudson Valley Chicken,1,"Ferndale, NY",Chicken,Unknown,0
Kirkland Signature (CostCo),1,"Seattle, WA","Chicken, turkey, processed meat",Nationwide,0
Koch's Turkey (Koch's Turkey Farms),1,"Tamaqua, PA",Turkey,Nationwide,0
Greenwise (Publix),1,"Lakeland, FL",Chicken,Nationwide,0
BF&E Organics (Boughan Farms & Enterprise),1,"Clifford, MI","Chicken, soy free",Michigan,0
365 Organic (Whole Foods/Amazon),1,"Austin, TX","Chicken, turkey, processed meat",Nationwide,0
Just Bare Chicken (Pilgrim’s Pride Corp.),1,"St. Cloud, MN","Chicken, processed meat",Nationwide,0
Wild Planet,1,"McKinleyville, CA","Canned chicken, processed meat",Nationwide,0
Azure Husbandry Chickens (Azure Organic Farms),1,"Dufur, OR",Chicken,Unknown,0
Perdue Harvestland,1,"Salisbury, MD",Chicken,Nationwide,0
HEB Organics (Perdue),1,"Austin, TX","Chicken, processed meat",South,0
Nature Raised Farms (Tyson Chicken),1,"Springdale, AR",Chicken,Nationwide,0
Sprouts,1,"Phoenix, AZ",Chicken,"CA, AZ, NV, PA, WA, SC",0
FreeBird (Aterian Partners),1,"Fredericksburg, PA",Chicken,Nationwide,0
Roxy The Organic Chicken (Draper Valley Farms/Perdue),1,"Mount Vernon, WA",Chicken,Nationwide,0
O Organics (Safeway/Lucerne Foods),1,"Boise, ID","Chicken, turkey",Nationwide,0
Smart Chicken/Tecumseh Poultry (Tyson),1,"Waverly, NE","Chicken, processed meat",Nationwide,0
Empire Kosher (Empire Kosher),1,"Selinsgrove, PA","Chicken, turkey, kosher",Nationwide,0
Draper Valley Farms (Perdue),1,"Salisbury, MD",Chicken,Nationwide,0
Thrive Market,1,Marina del Rey,Chicken,Nationwide,0
Simple Truth (Kroger),1,"Cincinnati, OH","Chicken, turkey",Nationwide,0
Rosie Organic Chicken (Petaluma Poultry/Perdue),1,"Petaluma, CA",Chicken,Nationwide,0
Raley's,1,"West Sacramento, CA",Chicken,Nationwide,0
Foster Farms,1,"Livingston, CA","Chicken, turkey",Nationwide,0
