Brand Name,Rating,Products,Market Area,Score
Rhapsody Natural Foods,5,"tempeh, miso, natto",Northeast,980
Eden Foods,5,"soymilk, soybeans, tofu, miso, soy sauce, ponzu sauce",Nationwide and International,955
Hodo,5,"tofu, soymilk, noodles, burgers",Nationwide,920
FarmSoy,5,"tofu, soy yogurt, tempeh",Middle TN and greater Nashville area,920
Unisoya,5,"tofu, meatless sausage",West,920
SoyBoy,5,"tofu, tempeh, tofu ravioli, tofu hot dogs, okra burgers",East,915
Twin Oaks,5,"tofu, tempeh, soymilk, mushroom pate",Mid-Atlantic,910
Tofu Shop,5,"tofu, soymilk",West,900
Miso Master,5,miso,Nationwide,890
Surata,5,tofu and tempeh,West,890
Fresh Tofu,5,"tofu, tempeh, vegetarian sandwiches, tofu spreads, Tofu ""No Egg"" Salad",East,885
Tofurky,5,"Tofurky, tempeh, Tempeh Superburgers",Nationwide and Canada,850
House Foods,5,tofu,Nationwide and International,825
Central Soyfoods,4,"tofu, tempeh",Kansas and Missouri,780
Nasoya,4,tofu,Nationwide,778
Wildwood,4,"tofu, tofu veggie patties, soy yogurt, cultured soy drink, soymilk, soymilk creamer",Nationwide and Canada,771
365,4,soymilk,Nationwide and International,740
O'Soy,3,soy yogurt,Nationwide,695
Vitasoy,3,soymilk,Canada and International,670
Soyganic,3,"tofu, soymilk","Northwest, Northeast and Canada",665
Harris Teeter,3,"soymilk, edamame",Mid-Atlantic and Southeast,605
Trader Joe's,2,"soymilk, tofu, others",Nationwide,385
Wild Harvest,2,soymilk,Nationwide,115
Laura Lynn,2,soymilk,South,115
Full Circle,2,soymilk,Nationwide,115
Greenwise,2,soymilk,South,115
Giant Eagle,2,soymilk,Mid-Atlantic,115
Pathmark,2,soymilk,Mid-Atlantic,115
Best Choice,2,soymilk,Nationwide,115
Weis Markets,2,soymilk,Mid-Atlantic,115
Nature's Place,2,soymilk,Northeast,115
Silk,1,soy beverage,Nationwide,0
Kirkland,1,soymilk,Nationwide,0
ShopRite,1,soymilk,Mid-Atlantic,0
Mori Nu Tofu,1,tofu,Nationwide,0
O Organics,1,soymilk,Nationwide,0
Wegmans,1,"soymilk, tofu, soybean oil, soy sauce",Mid-Atlantic,0
Lightlife,1,Tempeh,Nationwide,0
Good and Gather,1,soymilk,Nationwide,0
