Brand Name,Rating,Organic,Plant Base,Score
"WestSoy, Organic, Unsweetened",5,Yes,Soy,1850
"Malk Almond, Organic, Unsweetened",5,Yes,Almond,1850
"Malk Oat, Organic, Unsweetened",5,Yes,Oat,1850
"Three Trees Almond, Organic, Original",5,Yes,Almond,1850
"Tofu Shop Soy, Organic Unflavored",5,Yes,Soy,1850
"New Barn Almond, Organic, Unsweetened",5,Yes,Almond,1850
"EdenSoy, Organic, Unsweetened",5,Yes,Soy,1850
"Malk Almond, Organic, Unsweetened Vanilla",5,Yes,Almond,1850
"Beber Almond, Unsweetened",5,Yes,Almond,1850
"Trader Joe's Soymilk, Organic, Unsweetened",5,Yes,Soy,1770
"Pacific Foods Soy, Organic, Unsweetened",5,Yes,Soy,1740
"EdenSoy, Organic, Vanilla Extra",5,Yes,Soy,1600
"Three Trees Almond, Organic, Vanilla",5,Yes,Almond,1600
"Three Trees Almond, Organic, Black Sesame",5,Yes,Almond,1600
"EdenSoy, Organic, Carob",5,Yes,Soy,1600
"WestSoy, Organic, Original",5,Yes,Soy,1600
"Three Trees Pistachio, Organic, Unsweetened",5,Yes,Pistachio/Almond,1600
"Three Trees Oat, Organic, Oat and Seed",5,Yes,Blend,1600
"Forager Project Soy, Organic, Unsweetened",5,Yes,Soy,1600
"Willa's Oat, Organic Original",5,Yes,Oat,1600
"EdenSoy, Organic, Vanilla",5,Yes,Soy,1600
"New Barn Almond, Organic, Unsweetened Vanilla",5,Yes,Almond,1600
"Malk Oat, Organic, Vanilla",5,Yes,Almond,1600
"Beber Almond, Vanilla",5,Yes,Almond,1600
"Beber Almond, Strawberry",5,Yes,Almond,1600
"Beber Almond, Lavender",5,Yes,Almond,1600
"Beber Almond, Chocolate",5,Yes,Almond,1600
"Malk Oat, Organic, Chocolate",5,Yes,Oat,1600
"Kiki Oat, Organic, Chocolate",5,Yes,Oat,1600
"Kiki Oat, Organic, Original",5,Yes,Oat,1600
"Tofu Shop Soy, Organic Vanilla",5,Yes,Soy,1550
"Tofu Shop Soy, Organic Ginger",5,Yes,Soy,1550
"Tofu Shop Soy, Organic Chocolate",5,Yes,Soy,1550
"EdenSoy, Organic, Original Extra",5,Yes,Soy,1550
"EdenSoy, Organic, Original",5,Yes,Soy,1550
